DOY,forc_st,forc_npp,forc_sw
1,10.08441765241128,0.120458339354498,0.35
2,10.925301478953354,0.117882749861721,0.364
3,9.445139995447304,0.115307160368944,0.367
4,7.739781520254892,0.112731570876167,0.367
5,6.946258812826927,0.11015598138339,0.367
6,6.388008176243468,0.107580391890612,0.373
7,6.0260090702947835,0.105004802397835,0.369
8,5.790950328872758,0.102429212905058,0.361
9,5.43569970514856,0.0998536234122812,0.373
10,5.041101790977103,0.104212313323135,0.382
11,4.387647325475974,0.108571003233988,0.364
12,3.8744656662119135,0.112929693144842,0.358
13,4.164676503972758,0.117288383055695,0.357
14,4.739373297002724,0.121647072966549,0.357
15,4.173862602365786,0.126005762877402,0.354
16,3.2919428052655464,0.130364452788256,0.357
17,3.176940535633228,0.13472314269911,0.393
18,3.64575963718821,0.128383230101504,0.373
19,3.8080253910677855,0.122043317503899,0.363
20,4.719441923774954,0.115703404906294,0.372
21,3.719618961215696,0.109363492308689,0.368
22,3.0005894355021527,0.103023579711084,0.36
23,2.791498526411244,0.0966836671134786,0.356
24,3.0324036281179123,0.0903437545158734,0.355
25,3.4538513819664693,0.0840038419182683,0.353
26,3.3185159972770606,0.105797291472536,0.353
27,2.76283768444949,0.127590741026804,0.352
28,2.8415855039637603,0.149384190581071,0.351
29,3.180232293327261,0.171177640135339,0.351
30,3.1024699750736437,0.192971089689607,0.35
31,3.1066878258898196,0.214764539243875,0.35
32,3.0487301587301596,0.236557988798142,0.35
33,3.008089734874233,0.25835143835241,0.352
34,3.399387338325392,0.284305455548856,0.379
35,4.896161707926412,0.310259472745302,0.4
36,4.329718053660755,0.336213489941748,0.386
37,3.34865048763892,0.362167507138194,0.373
38,3.4525142207053476,0.388121524334641,0.369
39,3.941693145710395,0.414075541531087,0.37
40,3.852594446973147,0.440029558727533,0.366
41,4.311204354728961,0.465983575923979,0.363
42,4.697727272727275,0.480050256999915,0.36
43,5.51300591177808,0.494116938075852,0.358
44,5.473387829246139,0.508183619151788,0.357
45,4.218748583087735,0.522250300227725,0.357
46,3.379750566893424,0.536316981303661,0.356
47,3.509614512471656,0.550383662379598,0.355
48,4.723006993006993,0.564450343455534,0.352
49,6.117725540025414,0.57851702453147,0.361
50,4.8473520249221185,0.59040436065198,0.361
51,3.921803582458309,0.60229169677249,0.359
52,4.078940217391303,0.614179032892999,0.355
53,5.253767035227566,0.626066369013509,0.355
54,7.42667876588022,0.637953705134019,0.353
55,6.844436875567666,0.649841041254528,0.353
56,5.790946221919673,0.661728377375038,0.381
57,5.5823729582577135,0.673615713495548,0.369
58,5.440721415607985,0.795857153268122,0.364
59,5.440921470721744,0.918098593040696,0.361
60,5.3396995219667645,1.04034003281327,0.358
61,5.864864209505334,1.16258147258585,0.357
62,6.355751978891822,1.28482291235842,0.352
63,5.612094326406725,1.40706435213099,0.353
64,5.4990338164251185,1.52930579190357,0.352
65,7.19973481195757,1.65154723167614,0.353
66,9.345977792884655,1.59349740695432,0.353
67,9.274222222222225,1.5354475822325,0.355
68,8.05764267278463,1.47739775751068,0.382
69,7.331629392971246,1.41934793278885,0.381
70,7.377704831932772,1.36129810806703,0.363
71,7.183938294010889,1.30324828334521,0.391
72,5.4268768428215015,1.24519845862339,0.379
73,5.645881552076244,1.18714863390157,0.369
74,6.55882219190541,1.16099649443644,0.364
75,7.509092970521544,1.13484435497132,0.36
76,8.439754935330157,1.1086922155062,0.387
77,9.241124260355033,1.08254007604108,0.385
78,10.1596097118221,1.05638793657596,0.373
79,10.343334090392911,1.03023579711084,0.367
80,9.621392921960071,1.00408365764572,0.362
81,9.753788566243196,0.977931518180595,0.359
82,9.494096276112623,1.00408365764572,0.359
83,9.994029511918276,1.03023579711084,0.384
84,10.03541334547939,1.05638793657596,0.372
85,9.85608092748352,1.08254007604108,0.366
86,8.580907029478457,1.1086922155062,0.362
87,7.222502270663035,1.13484435497132,0.36
88,6.283941936947152,1.16099649443644,0.359
89,6.557891156462586,1.18714863390157,0.357
90,8.06424670004552,1.27709614388009,0.356
91,9.190498866213154,1.36704365385861,0.367
92,8.544134331744953,1.45699116383713,0.364
93,8.856292594275331,1.54693867381566,0.361
94,8.666253797616267,1.63688618379418,0.359
95,9.08694942903752,1.7268336937727,0.366
96,10.203067071115605,1.81678120375123,0.41
97,10.370481319421067,1.90672871372975,0.402
98,10.241352624495288,1.97805273045281,0.398
99,10.240801886792454,2.04937674717587,0.388
100,9.578376557763557,2.12070076389892,0.378
101,9.20787613598115,2.19202478062198,0.372
102,10.47743676222597,2.26334879734504,0.369
103,11.90939393939394,2.3346728140681,0.366
104,13.488728129205924,2.40599683079116,0.364
105,13.139333781965007,2.47732084751421,0.362
106,13.032794612794614,2.65265905529173,0.363
107,12.737188132164531,2.82799726306925,0.367
108,10.766632996632996,3.00333547084677,0.383
109,9.806339581036385,3.17867367862428,0.391
110,9.896974522292997,3.3540118864018,0.377
111,10.4751033532384,3.52935009417932,0.368
112,11.427287209831588,3.70468830195684,0.363
113,12.046497392881436,3.88002650973435,0.36
114,12.69487644525051,3.73242541957136,0.358
115,12.941607834206332,3.58482432940836,0.356
116,13.141200453001131,3.43722323924537,0.349
117,12.68755707762557,3.28962214908237,0.353
118,11.442645043398812,3.14202105891938,0.348
119,11.175108077360637,2.99441996875638,0.35
120,11.207713310580209,2.84681887859339,0.348
121,11.430296127562643,2.69921778843039,0.351
122,12.256718528995757,2.9480593578864,0.387
123,12.94121387283237,3.1969009273424,0.347
124,13.284373388344507,3.4457424967984,0.371
125,13.521362157136217,3.6945840662544,0.363
126,13.479911545623835,3.94342563571041,0.377
127,12.771119888475836,4.19226720516641,0.403
128,11.605890538033394,4.44110877462241,0.385
129,11.43608725922488,4.68995034407841,0.371
130,11.81297798377752,4.74047152259058,0.364
131,12.363459309065616,4.79099270110275,0.36
132,13.033596287703018,4.84151387961491,0.357
133,13.908861053119926,4.89203505812708,0.359
134,14.6140848371221,4.94255623663924,0.372
135,14.999628942486089,4.99307741515141,0.371
136,15.538036667440242,5.04359859366358,0.369
137,15.580719257540604,5.09411977217574,0.368
138,15.437801484230055,5.14959400740479,0.361
139,15.619879518072288,5.20506824263383,0.358
140,16.24935125115848,5.26054247786288,0.353
141,17.348528389339513,5.31601671309192,0.348
142,18.12094972067039,5.37149094832097,0.352
143,17.936158323632128,5.42696518355001,0.369
144,16.833519034354687,5.48243941877906,0.378
145,16.108099326990022,5.5379136540081,0.369
146,16.105121668597913,5.5713963174142,0.362
147,16.732900533271504,5.60487898082031,0.372
148,17.171557719054242,5.63836164422641,0.389
149,17.30120537783959,5.67184430763251,0.375
150,17.693466172381836,5.70532697103861,0.369
151,18.460588507877663,5.73880963444472,0.364
152,19.208760139049826,5.77229229785082,0.357
153,19.50181016477141,5.80577496125692,0.36
154,19.17889458955224,5.74257395754954,0.37
155,18.558437644877145,5.67937295384217,0.363
156,18.189056691449817,5.61617195013479,0.357
157,17.777026401111627,5.55297094642741,0.351
158,17.997983039193215,5.48976994272004,0.342
159,18.701315491041058,5.42656893901266,0.345
160,19.276578827805544,5.36336793530529,0.356
161,18.656724012599952,5.30016693159791,0.343
162,18.55670314637483,5.37862334999327,0.345
163,18.487318511796733,5.45707976838864,0.343
164,19.25125936010892,5.535536186784,0.339
165,19.845850340136057,5.61399260517936,0.363
166,19.741225879682176,5.69244902357473,0.363
167,20.023202540258563,5.77090544197009,0.357
168,20.435662431941925,5.84936186036546,0.351
169,20.176598639455783,5.92781827876082,0.343
170,19.0055530268548,5.83212522299072,0.336
