"","day","GPP","NPP"
"1",1,0.2375,0.120458339354498
"2",2,0.232421875,0.117882749861721
"3",3,0.22734375,0.115307160368944
"4",4,0.222265625,0.112731570876167
"5",5,0.2171875,0.11015598138339
"6",6,0.212109375,0.107580391890612
"7",7,0.20703125,0.105004802397835
"8",8,0.201953125,0.102429212905058
"9",9,0.196875,0.0998536234122812
"10",10,0.20546875,0.104212313323135
"11",11,0.2140625,0.108571003233988
"12",12,0.22265625,0.112929693144842
"13",13,0.23125,0.117288383055695
"14",14,0.23984375,0.121647072966549
"15",15,0.2484375,0.126005762877402
"16",16,0.25703125,0.130364452788256
"17",17,0.265625,0.13472314269911
"18",18,0.253125,0.128383230101504
"19",19,0.240625,0.122043317503899
"20",20,0.228125,0.115703404906294
"21",21,0.215625,0.109363492308689
"22",22,0.203125,0.103023579711084
"23",23,0.190625,0.0966836671134786
"24",24,0.178125,0.0903437545158734
"25",25,0.165625,0.0840038419182683
"26",26,0.20859375,0.105797291472536
"27",27,0.2515625,0.127590741026804
"28",28,0.29453125,0.149384190581071
"29",29,0.3375,0.171177640135339
"30",30,0.38046875,0.192971089689607
"31",31,0.4234375,0.214764539243875
"32",32,0.46640625,0.236557988798142
"33",33,0.509375,0.25835143835241
"34",34,0.560546875,0.284305455548856
"35",35,0.61171875,0.310259472745302
"36",36,0.662890625,0.336213489941748
"37",37,0.7140625,0.362167507138194
"38",38,0.765234375,0.388121524334641
"39",39,0.81640625,0.414075541531087
"40",40,0.867578125,0.440029558727533
"41",41,0.91875,0.465983575923979
"42",42,0.946484375,0.480050256999915
"43",43,0.97421875,0.494116938075852
"44",44,1.001953125,0.508183619151788
"45",45,1.0296875,0.522250300227725
"46",46,1.057421875,0.536316981303661
"47",47,1.08515625,0.550383662379598
"48",48,1.112890625,0.564450343455534
"49",49,1.140625,0.57851702453147
"50",50,1.1640625,0.59040436065198
"51",51,1.1875,0.60229169677249
"52",52,1.2109375,0.614179032892999
"53",53,1.234375,0.626066369013509
"54",54,1.2578125,0.637953705134019
"55",55,1.28125,0.649841041254528
"56",56,1.3046875,0.661728377375038
"57",57,1.328125,0.673615713495548
"58",58,1.569140625,0.795857153268122
"59",59,1.81015625,0.918098593040696
"60",60,2.051171875,1.04034003281327
"61",61,2.2921875,1.16258147258585
"62",62,2.533203125,1.28482291235842
"63",63,2.77421875,1.40706435213099
"64",64,3.015234375,1.52930579190357
"65",65,3.25625,1.65154723167614
"66",66,3.141796875,1.59349740695432
"67",67,3.02734375,1.5354475822325
"68",68,2.912890625,1.47739775751068
"69",69,2.7984375,1.41934793278885
"70",70,2.683984375,1.36129810806703
"71",71,2.56953125,1.30324828334521
"72",72,2.455078125,1.24519845862339
"73",73,2.340625,1.18714863390157
"74",74,2.2890625,1.16099649443644
"75",75,2.2375,1.13484435497132
"76",76,2.1859375,1.1086922155062
"77",77,2.134375,1.08254007604108
"78",78,2.0828125,1.05638793657596
"79",79,2.03125,1.03023579711084
"80",80,1.9796875,1.00408365764572
"81",81,1.928125,0.977931518180595
"82",82,1.9796875,1.00408365764572
"83",83,2.03125,1.03023579711084
"84",84,2.0828125,1.05638793657596
"85",85,2.134375,1.08254007604108
"86",86,2.1859375,1.1086922155062
"87",87,2.2375,1.13484435497132
"88",88,2.2890625,1.16099649443644
"89",89,2.340625,1.18714863390157
"90",90,2.51796875,1.27709614388009
"91",91,2.6953125,1.36704365385861
"92",92,2.87265625,1.45699116383713
"93",93,3.05,1.54693867381566
"94",94,3.22734375,1.63688618379418
"95",95,3.4046875,1.7268336937727
"96",96,3.58203125,1.81678120375123
"97",97,3.759375,1.90672871372975
"98",98,3.9,1.97805273045281
"99",99,4.040625,2.04937674717587
"100",100,4.18125,2.12070076389892
"101",101,4.321875,2.19202478062198
"102",102,4.4625,2.26334879734504
"103",103,4.603125,2.3346728140681
"104",104,4.74375,2.40599683079116
"105",105,4.884375,2.47732084751421
"106",106,5.230078125,2.65265905529173
"107",107,5.57578125,2.82799726306925
"108",108,5.921484375,3.00333547084677
"109",109,6.2671875,3.17867367862428
"110",110,6.612890625,3.3540118864018
"111",111,6.95859375,3.52935009417932
"112",112,7.304296875,3.70468830195684
"113",113,7.65,3.88002650973435
"114",114,7.358984375,3.73242541957136
"115",115,7.06796875,3.58482432940836
"116",116,6.776953125,3.43722323924537
"117",117,6.4859375,3.28962214908237
"118",118,6.194921875,3.14202105891938
